,SOLICITA,FOLIO,FECHA DOCTO,MATERIA,FIRMA,OBSERVACIONES,LINK AL DOCUMENTO,ESTADO
,psp,00143,06-11-2024,"MODIFÍQUESE ASIGNACIONES IDENTIFICATORIAS DE INICIATIVAS DE INVERSIÓN DE ESTUDIOS BÁSICOS Y PROYECTOS DE INVERSIÓN DEL PROGRAMA DE INVERSIÓN REGIONAL REGIÓN XVI”, SUBTÍTULO 31, INICIATIVAS DE INVERSIÓN DE LA REGIÓN DE ÑUBLE AÑO 2024.",OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/drive/folders/1STu4vD-gIOHe1CSQz_2HwIlQ94nuSxYi?usp=drive_link,TOMADA DE RAZON
,cae,00142,06-11-2024,"MODIFICA RESOLUCIÓN AFECTA 7B N° 82, DE 30 DE JULIO DE 2024, DEL GOBIERNO REGIONAL DE ÑUBLE QUE APRUEBA BASES ADMINISTRATIVAS GENERALES, ESPECIFICACIONES TÉCNICAS Y ANEXOS, AUTORIZA EL LLAMADO AL PROCESO DE LICITACIÓN PÚBLICA, DESIGNA COMISIÓN DE APERTURA Y EVALUACIÓN DEL PROYECTO “ADQUISICIÓN DE MAQUINARIAS Y VEHÍCULOS PARA ÑUBLE”, CÓDIGO BIP 40062691-0, POR LOS MOTIVOS QUE INDICA.",OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/drive/folders/1G_sZpfjYBFTQohL4w1YV66reUwp3Vef7?usp=drive_link,TOMADA DE RAZON
,cnr,00141,04-11-2024,"APRUEBA MODIFICACIÓN DE CONVENIO DE “TRANSFERENCIA PROGRAMA DE APOYO A FERIANTES DE LA REGIÓN DE ÑUBLE”, Código BIP 40038746-0",ALICIA CONTRERAS VIELMA,DOC DIGITAL ,https://drive.google.com/drive/folders/1YCFdOTto2RYLs60nsbDMHaKGyhQag2Zl?usp=drive_link,TOMADA DE RAZON
,gsg,00140,30-10-2024,MODIFICA PRESUPUESTO DE FUNCIONAMIENTO AÑO 2024 GOBIERNO REGIONAL DE ÑUBLE.,ALICIA CONTRERAS VIELMA,DOC DIGITAL ,https://drive.google.com/drive/folders/1IFSiwF4-xCZ3tmBwzj8WJWk6JL-FMXuc?usp=drive_link,EN TRAMITE
,psp,00139,24-10-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “CONSERVACIÓN HOSPITAL HERMINDA MARTÍN DE CHILLÁN”, Código BIP 40026156- 0.",ALICIA CONTRERAS VIELMA,DOC DIGITAL ,https://drive.google.com/drive/folders/1kleEJHgjQd-EazYIAeg5dcmAQcEAA37k?usp=drive_link,EN TRAMITE
,lpo,00138,22-10-2024,MODIFÍCASE EL PRESUPUESTO DE INVERSIÓN DEL GOBIERNO REGIONAL DE ÑUBLE,ALICIA CONTRERAS VIELMA,DOC DIGITAL ,https://drive.google.com/drive/folders/1g6-IglRuszX1M2gl2Q-KGnkuW7nWPgnH?usp=drive_link,TOMADA DE RAZON
,lpo,00137,21-10-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “REPOSICIÓN AVENIDA NUESTRA SEÑORA DEL ROSARIO, COMUNA DE NINHUE”, Código BIP 40054644-0.",ALICIA CONTRERAS VIELMA,DOC DIGITAL ,https://drive.google.com/drive/folders/1gSnOjF2TRn2SPalMIQqDrb5lnnwSuAXS?usp=drive_link,TOMADA DE RAZON
,ech,00136,21-10-2024,"APRUEBA MODIFICACIÓN DE CONVENIO DE TRANSFERENCIA DEL PROYECTO “CONTROL DE LA PRESENCIA DE LA PLAGA DROSOPHILA SUZUKII EN LA REGIÓN DE ÑUBLE” , CÓDIGO BIP 40031258-0",ALICIA CONTRERAS VIELMA,DOC DIGITAL ,https://drive.google.com/drive/folders/1GhA4OPt-Rwu1aJiSiePXlKD9YNh91PTP?usp=drive_link,TOMADA DE RAZON
,mqv,00135,18-10-2024,"APRUEBA CONVENIO DE TRANSFERENCIA PARA LA EJECUCIÓN DEL PROGRAMA “TRANSFERENCIA FORTALECIMIENTO DEL TURISMO SOCIAL EN LA REGIÓN DE ÑUBLE”, CÓDIGO BIP 40058836-0.",ALICIA CONTRERAS VIELMA,DOC DIGITAL ,https://drive.google.com/drive/folders/1Epx_8ZSTuZ4jOYwT6Koq2OB7vvbtOPGb?usp=drive_link,CON ALCANCE
,psp,00134,16-10-2024,"CRÉESE Y MODIFÍQUESE ASIGNACIONES IDENTIFICATORIAS DE INICIATIVAS DE INVERSIÓN DE ESTUDIOS BÁSICOS Y PROYECTOS DE INVERSIÓN DEL PROGRAMA DE INVERSIÓN REGIONAL REGIÓN XVI”, SUBTÍTULO 31, INICIATIVAS DE INVERSIÓN DE LA REGIÓN DE ÑUBLE AÑO 2024.",ALICIA CONTRERAS VIELMA,DOC DIGITAL ,https://drive.google.com/drive/folders/1eEnyV6DGfVyhnxBoIXqqY_Ai_sBiaQru?usp=drive_link,TOMADA DE RAZON
