,SOLICITA,FOLIO,FECHA DOCTO,MATERIA,FIRMA,OBSERVACIONES,LINK AL DOCUMENTO,ESTADO
,psp ,00098,27-08-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “CONSERVACIÓN GIMNASIO MUNICIPAL, CHILLÁN VIEJO”, Código BIP 40043597-0.",OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/drive/folders/1xfgI_MsAw-1Kx-zZ_9_5pLr-7PxN0R-E?usp=drive_link,TOMADA DE RAZON
,mqv,00097,14-08-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “REPOSICIÓN CAMIÓN ALJIBE, COMUNA DE SAN FABIÁN, ASOCIACIÓN PUNILLA, REGIÓN DE ÑUBLE”, CÓDIGO BIP 40035024-0.",OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/drive/folders/1m8qPsGchndHvNkHAbGp062BdB5RYDw5H?usp=drive_link,TOMADA DE RAZON
,ahm,00096,14-08-2024,MODIFÍCASE EL PRESUPUESTO DE INVERSIÓN DEL GOBIERNO REGIONAL DE ÑUBLE,OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/drive/folders/1sQmEFazNehY9Yx5-d-onJcdqnaYMdaEy?usp=drive_link,EN TRAMITE
,mqv,00095,14-08-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “ADQUISICIÓN DE RODILLO Y CAMA BAJA PARA LA COMUNA DE SAN FABIÁN, ASOCIACIÓN PUNILLA”, CÓDIGO BIP 40012982-0.",OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/drive/folders/1WV0EWYSTpqK1GbeARF6x5R2LcFb6S1mI?usp=drive_link,TOMADA DE RAZON
,ahm,00094,14-08-2024,MODIFÍCASE EL PRESUPUESTO DE INVERSIÓN DEL GOBIERNO REGIONAL DE ÑUBLE,OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/drive/folders/14Opv0krUHSdwmjqM3O3r08WMGU2a0NqU?usp=drive_link,TOMADA DE RAZON
,mqv,00093,13-08-2024,"APRUEBA CONVENIO DE TRANSFERENCIA PARA LA EJECUCIÓN DEL PROGRAMA “TRANSFERENCIA FRUTICULTURA SOSTENIBLE Y RESILIENTE AL CAMBIO CLIMÁTICO PARA LA REGIÓN DE ÑUBLE”, CÓDIGO BIP 40048139-0.",OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/drive/folders/1PhJqIvEJ4paOz-5tg11ciVJg4fXeZYEl?usp=drive_link,EN TRAMITE
,psp,00092,12-08-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “PROSPECCIÓN GEOFÍSICA EN SECTOR RURAL DÉFICIT HÍDRICO VALLE DEL ITATA II”, Código BIP 30488514-0.",OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/drive/folders/1VcckpiE0PB2PnKCSr2Rv66nc40nXqegK?usp=drive_link,TOMADA DE RAZON
,ahm,00091,08-08-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “REPOSICIÓN EDIFICIO CONSISTORIAL NINHUE”, Código BIP 40035950-0.",OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/drive/folders/1oJNBXWE0I1OezUY-eL4hGABWf8SqwZpb?usp=drive_link,TOMADA DE RAZON
,psp,00090,07-08-2024,"CRÉESE Y MODIFÍQUESE ASIGNACIONES IDENTIFICATORIAS DE INICIATIVAS DE INVERSIÓN DE ESTUDIOS BÁSICOS DEL PROGRAMA DE INVERSIÓN REGIONAL REGIÓN XVI”, SUBTÍTULO 31, INICIATIVAS DE INVERSIÓN DE LA REGIÓN DE ÑUBLE AÑO 2024.",OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/drive/folders/1nfQk6BBgUA_dEky9syEcstTbugK_Pg-d?usp=drive_link,TOMADA DE RAZON
,psp,00089,07-08-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “MEJORAMIENTO PLANTA DE TRATAMIENTO AS CAMPANARIO, COMUNA DE YUNGAY”, Código BIP 40002330-0.",OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/drive/folders/1Xr9e7I0oxy-I99gzzhq6cUokREtUvF66?usp=drive_link,TOMADA DE RAZON
,psp,00088,01-08-2024,APRUEBA CONVENIO DE TRANSFERENCIA DEL PROGRAMA DENOMINADO “TRANSFERENCIA CASA DE ACOGIDA PARA PACIENTES Y FAMILIARES DEL HOSPITAL REGIONAL DE ÑUBLE” Código BIP 40055996-0,OSCAR CRISOSTOMO LLANOS,DOCDIGITAL,https://drive.google.com/drive/folders/1AWrgApJ6ztgtO7uHJKfAlDT9ZkKCF8_e?usp=drive_link,TOMADA DE RAZON
,mqv,00087,01-08-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “ADQUISICIÓN MINI BUS PARA LA COMUNA DE SAN NICOLÁS”, CÓDIGO BIP 40048686-0.",OSCAR CRISOSTOMO LLANOS,DOCDIGITAL,https://drive.google.com/drive/folders/10xAVdHcN1mddJYmLVkms8tF8VPpHI8M5?usp=drive_link,TOMADA DE RAZON
,mqv,00086,01-08-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “REPOSICIÓN CAMIONES TOLVA COMUNA DE SAN NICOLÁS”, CÓDIGO BIP 40062595-0.",OSCAR CRISOSTOMO LLANOS,DOCDIGITAL,https://drive.google.com/drive/folders/1BZ1fX__bT2_kJtMddvOWdzMaU3IA8z78?usp=drive_link,EN TRAMITE
,mqv,00085,01-08-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “ADQUISICIÓN CONTENEDORES PLÁSTICOS PARA RECOLECCIÓN DE RESIDUOS SD, SAN NICOLÁS”, CÓDIGO BIP 40054895-0.",OSCAR CRISOSTOMO LLANOS,DOCDIGITAL,https://drive.google.com/drive/folders/1MBRBn96OA87S-mkkqOO6jWZZ7rBblD_v?usp=drive_link,TOMADA DE RAZON
,psp,00084,01-08-2024,"APRUEBA MODIFICACIÓN DE CONVENIO DE TRANSFERENCIA DEL PROGRAMA DENOMINADO “TRANSFERENCIA TECNOLÓGICA PARA LA PRODUCCIÓN DE VINO Y VINIFICACIONES ESPECIALES DE VARIEDADES DISPONIBLES EN EL VALLE DEL ITATA”, CÓDIGO BIP 40038878-0",OSCAR CRISOSTOMO LLANOS,DOCDIGITAL,https://drive.google.com/drive/folders/1weougcT2t-qtVDfuXdchgBUHMmy0SEDr?usp=drive_link,TOMADA DE RAZON
,mqv,00083,30-07-2024,"APRUEBA MODIFICACIÓN DE CONVENIO DE TRANSFERENCIA DEL PROYECTO “TRANSFERENCIA PARA EL TURISMO SUSTENTABLE DE MONTAÑA”, CÓDIGO BIP 40032591-0.",OSCAR CRISOSTOMO LLANOS,DOCDIGITAL,https://drive.google.com/file/d/1GHIicDp8lRGEu3sXi1uR6ZH2dUKL08fV/view?usp=drive_link,EN TRAMITE
,rpp,00082,30-07-2024,"APRUEBA BASES ADMINISTRATIVAS GENERALES, ESPECIFICACIONES TÉCNICAS Y ANEXOS, AUTORIZA EL LLAMADO AL PROCESO DE LICITACIÓN PÚBLICA, DESIGNA COMISIÓN DE APERTURA Y EVALUACIÓN DEL PROYECTO “ADQUISICIÓN DE MAQUINARIAS Y VEHÍCULOS PARA ÑUBLE”, CÓDIGO BIP 40062691-0.",OSCAR CRISOSTOMO LLANOS,DOCDIGITAL,https://drive.google.com/drive/folders/150YFAJe05LBJCJnXaTD_FeD6-DOBTvh4?usp=drive_link,CON ALCANCE
,,00081,26-07-2024,"APRUEBA CONVENIO DE TRANSFERENCIA PARA LA EJECUCIÓN DEL PROGRAMA “TRANSFERENCIA DESARROLLO DE COMPETENCIAS Y PROMOCIÓN TURÍSTICA NACIONALES E INTERNACIONALES – REGIÓN DE ÑUBLE”, CÓDIGO BIP 40058688-0.",OSCAR CRISOSTOMO LLANOS,DOCDIGITAL,https://drive.google.com/file/d/14FIa0DKcw2MqhOdDUgqoC4tGh_3Km28x/view?usp=drive_link,TOMADA DE RAZON
,psp ,00080,25-07-2024,"CRÉESE ASIGNACIONES IDENTIFICATORIAS DE INICIATIVAS DE INVERSIÓN DE ESTUDIOS BÁSICOS DEL PROGRAMA DE INVERSIÓN REGIONAL REGIÓN XVI”, SUBTÍTULO 31, INICIATIVAS DE INVERSIÓN DE LA REGIÓN DE ÑUBLE AÑO 2024.",OSCAR CRISOSTOMO LLANOS,DOCDIGITAL,https://drive.google.com/drive/folders/1FqoWvXKq5aakUXyKmn1894hJSESTlmEn?usp=drive_link,TOMADA DE RAZON
,psp,00079,24-07-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “ADQUISICIÓN CUATRIMOTOS PARA EL CONTROL DE ÁREAS SILVESTRES PROTEGIDAS REGIÓN DE ÑUBLE”, código BIP 40059029-0.",OSCAR CRISOSTOMO LLANOS,DOCDIGITAL,https://drive.google.com/drive/folders/1qsnsnlZ2qV04KzeuPMyp9qnVxucbOkxo?usp=drive_link,EN TRAMITE
,psp,00078,24-07-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “CONSERVACIÓN VEREDAS VILLA CUARTO CENTENARIO, CHILLÁN”, Código BIP 40027236-0.",OSCAR CRISOSTOMO LLANOS,DOCDIGITAL,https://drive.google.com/drive/folders/1-3gT1oNmG9HfsbrITWFf5pdg8SwEOF5g?usp=drive_link,TOMADA DE RAZON
,psp,00077,24-07-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “CONSERVACIÓN VEREDAS POBLACIÓN SIMÓN BOLÍVAR, CHILLÁN”, CÓDIGO BIP 40036902-0.",OSCAR CRISOSTOMO LLANOS,DOCDIGITAL,https://drive.google.com/drive/folders/1SXslhz5jVqHmQyJxSyLCO61xWdGNAEhe?usp=drive_link,EN TRAMITE
,psp,00076,22-07-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “CONSERVACIÓN VEREDAS VILLA LOS ALPES, CHILLÁN",OSCAR CRISOSTOMO LLANOS,DOCDIGITAL,https://drive.google.com/drive/folders/1GvkeLS-2SDCg5OTx-WG7XdbF3z0_1COZ?usp=drive_link,EN TRAMITE
,jpg,00075,22-07-2024,PROMULGA PLAN REGULADOR DE LA COMUNA DE PINTO,OSCAR CRISOSTOMO LLANOS,DOCDIGITAL,https://drive.google.com/file/d/1jUjHGHs2QgwG5dyAldEgFTrsia9b5B9V/view?usp=drive_link,REPRESENTADA
,psp,00074,18-07-2024,"CRÉESE Y MODIFÍQUESE ASIGNACIONES IDENTIFICATORIAS DE INICIATIVAS DE INVERSIÓN DE ESTUDIOS BÁSICOS DEL PROGRAMA DE INVERSIÓN REGIONAL REGIÓN XVI”, SUBTÍTULO 31, INICIATIVAS DE INVERSIÓN DE LA REGIÓN DE ÑUBLE AÑO 2024.",ALICIA CONTRERAS VIELMA,DOCDIGITAL,https://drive.google.com/file/d/17h_Q0wgdcsPvE2pY00aWrteDo8hsovpR/view?usp=drive_link,TOMADA DE RAZON
,psp,00073,17-07-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “MEJORAMIENTO PATIO ISABEL RIQUELME, MERCADO MUNICIPAL DE CHILLÁN”",OSCAR CRISOSTOMO LLANOS,DOCDIGITAL,https://drive.google.com/drive/folders/1MB1u5F0zGZ1FBTa7Ov0mpx1IPSrOLOMI?usp=drive_link,EN TRAMITE
,asmp,00072,11-07-2024,MODIFICA PRESUPUESTO DE FUNCIONAMIENTO AÑO 2024 GOBIERNO REGIONAL DE ÑUBLE.,OSCAR CRISOSTOMO LLANOS,DOCDIGITAL,https://drive.google.com/drive/folders/1FY6A5SOiLZY5ntfRpGVxh9q1Y8sDosvv?usp=drive_link,TOMADA DE RAZON
,rpp,00071,03-07-2024,"APRUEBA BASES ADMINISTRATIVAS GENERALES, ESPECIFICACIONES TÉCNICAS Y ANEXOS, AUTORIZA EL LLAMADO AL PROCESO DE LICITACIÓN PÚBLICA, DESIGNA COMISIÓN DE APERTURA Y EVALUACIÓN DEL PROYECTO “ADQUISICIÓN DE MAQUINARIAS Y VEHÍCULOS PARA ÑUBLE”, CÓDIGO BIP 40062691-0.",ALICIA CONTRERAS VIELMA,DOCDIGITAL,https://drive.google.com/drive/folders/1gmPDaZxoY4kWWW0d2mEq-OSGbz7QUEs8?usp=sharing,REPRESENTADA
,jsm,00070,02-07-2024,"APRUEBA MODIFICACION DE CONVENIO MANDATO DEL PROYECTO “AMPLIACIÓN RED AGUA POTABLE, AGUAS SERVIDAS Y PEAS, VILLA LOS ARTESANOS, COMUNA DE NINHUE”",ALICIA CONTRERAS VIELMA,DOCDIGITAL,https://drive.google.com/drive/folders/13mZCupaIWVQD2PArarxswj8x1rLyqC4b?usp=drive_link,TOMADA DE RAZON
,ech,00069,01-07-2024,APRUEBA MODIFICACIÓN DE CONVENIO “TRANSFERENCIA MANEJO HIDRICO SUSTENTABLE DEL CULTIVO DEL ARROZ”,ALICIA CONTRERAS VIELMA,DOCDIGITAL,https://drive.google.com/drive/folders/12FIYhimy6ORaZz-cfzqK4r8wMkW_Bk5e?usp=drive_link,TOMADA DE RAZON
,ech,00068,01-07-2024,APRUEBA MODIFICACIÓN DE CONVENIO DE “TRANSFERENCIA PROGRAMA DE APOYO A FERIANTES DE LA REGIÓN DE ÑUBLE”,ALICIA CONTRERAS VIELMA,DOCDIGITAL,https://drive.google.com/drive/folders/125nhsUK38_K_AI09irrOZXGuUT0FUmWN?usp=drive_link,TOMADA DE RAZON
,psp,00067,01-07-2024,"APRUEBA MODIFICACIÓN DE CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “ADQUISICIÓN RECOLECTOR DE RESIDUOS DOMICILIARIOS, COMUNA DE SAN IGNACIO”",ALICIA CONTRERAS VIELMA,DOCDIGITAL,https://drive.google.com/drive/folders/1-pmuQ8DzwlPpK2YnwNZJg9YQptAzQB_T?usp=drive_link,EN TRAMITE
,psp,00066,01-07-2024,APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “REPOSICIÓN HOGAR DE ANCIANOS COMUNA DE SAN IGNACIO”,ALICIA CONTRERAS VIELMA,DOCDIGITAL,https://drive.google.com/drive/folders/1-hUV9pCYfAdB4pbdqIlYcg3wQs6csLio?usp=drive_link,EN TRAMITE
,psp,00065,28-06-2024,APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “ADQUISICIÓN BUS ILUSTRE MUNICIPALIDAD DE BULNES” CÓDIGO BIP 40060200-0.,OSCAR CRISOSTOMO LLANOS,DOCDIGITAL,https://drive.google.com/drive/folders/1y5Mrmrld128Vjq9Aq8dCTyPBGO-JkRRU?usp=drive_link,TOMADA DE RAZON
,ahm,00064,26-06-2024,MODIFÍCASE EL PRESUPUESTO DE INVERSIÓN DEL GOBIERNO REGIONAL DE ÑUBLE,OSCAR CRISOSTOMO LLANOS,DOCDIGITAL,https://drive.google.com/drive/folders/1obLaUgGgKFA5R424Z_uPmL7dO2Dpohsz?usp=drive_link,TOMADA DE RAZON
,jsm,00063,24-06-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “REPOSICIÓN PAVIMENTACIÓN CALLE ARTURO PRAT, COMUNA DE NINHUE”",OSCAR CRISOSTOMO LLANOS,DOCDIGITAL,https://drive.google.com/drive/folders/1eep4Gcdzx7ZI6qSBoE2UxPFrKX0BOTkH?usp=drive_link,TOMADA DE RAZON
,psp,00062,24-06-2024,APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “ADQUISICIÓN VEHÍCULOS POLICIALES PARA LA XVI ZONA DE CARABINEROS ÑUBLE”,OSCAR CRISOSTOMO LLANOS,DOCDIGITAL,https://drive.google.com/drive/folders/1duHLu1ch_CLvPyNzvul1L58s1kgT8zG2?usp=drive_link,TOMADA DE RAZON
,gsg,00061,24-06-2024,MODIFICA PRESUPUESTO DE FUNCIONAMIENTO AÑO 2024 GOBIERNO REGIONAL DE ÑUBLE.,OSCAR CRISOSTOMO LLANOS,DOCDIGITAL,https://drive.google.com/drive/folders/1dmaMNVFHKtyNlpSzBXTHW_3Tt7PnzX_b?usp=drive_link,EN TRAMITE
,jsm,00060,18-06-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “REPOSICIÓN CENTRO DE SALUD FAMILIAR DR. DAVID BENAVENTE, COMUNA DE NINHUE, REGIÓN DE ÑUBLE”",OSCAR CRISOSTOMO LLANOS,DOCDIGITAL,https://drive.google.com/drive/folders/1VWLDp0ik65qTk8HJ4FwE-3vUwirocQI3?usp=drive_link,TOMADA DE RAZON
,jsm,00059,18-06-2024,APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “REPOSICIÓN CUARTEL DE BOMBEROS COMUNA DE NINHUE”,OSCAR CRISOSTOMO LLANOS,DOCDIGITAL,https://drive.google.com/drive/folders/1VLX9nN6mrYeFmuiQSO5fNBmONtIJM4EW?usp=drive_link,EN TRAMITE
,jsm,00058,18-06-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “CONSTRUCCIÓN CANCHA PASTO SINTÉTICO SECTOR EL RINCÓN, COMUNA DE NINHUE”",OSCAR CRISOSTOMO LLANOS,DOCDIGITAL,https://drive.google.com/drive/folders/1VFAp9drY-y4L1p9JmAGPLKZPRYGKCvCe?usp=drive_link,EN TRAMITE
,mqv,00057,14-06-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “CONSTRUCCIÓN CANCHA PASTO SINTÉTICO Y CIERRE PERIMETRAL SECTOR ÑIQUÉN ESTACIÓN, ÑIQUÉN”.",OSCAR CRISOSTOMO LLANOS,DOCDIGITAL,https://drive.google.com/drive/folders/12S7XSTv5Hc94xuMlhBdlPluWXqGVsm1n?usp=drive_link,EN TRAMITE
,psp,00056,14-06-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “REPOSICIÓN RETÉN DE CARABINEROS DE CATO, COMUNA DE COIHUECO”",OSCAR CRISOSTOMO LLANOS,DOCDIGITAL,https://drive.google.com/drive/folders/12KnPaWqLrqv0yJAFdpkMBB8JjRYs2xj_?usp=drive_link,TOMADA DE RAZON
,psp,00055,14-06-2024,APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “ADQUISICIÓN SISTEMA AERONAVES REMOTAMENTE PILOTADAS RPAS PARA LA ZONA DE CARABINEROS ÑUBLE”,OSCAR CRISOSTOMO LLANOS,DOCDIGITAL,https://drive.google.com/drive/folders/12DRyTvsLcXYGn_eIQExNITpuL_dguSaT?usp=drive_link,TOMADA DE RAZON
,jsm,00054,14-06-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “CONSTRUCCIÓN CANCHA DE FUTBOL, SAN IGNACIO PALOMARES COMUNA DE RÁNQUIL”",OSCAR CRISOSTOMO LLANOS,DOCDIGITAL,https://drive.google.com/drive/folders/121Li1KAEvV1xdbWYqIn1xfBhkDZSKZ4t?usp=drive_link,CON ALCANCE
,psp,00053,14-06-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “ADQUISICIÓN CLÍNICA VETERINARIA MÓVIL, COMUNA DE QUILLÓN”",OSCAR CRISOSTOMO LLANOS,DOCDIGITAL,https://drive.google.com/drive/folders/11iEaj9LyGMqlgFSc9dSIUJWyBr0lkeZi?usp=drive_link,EN TRAMITE
,jsm,00052,11-06-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “ADQUISICIÓN RODILLO COMPACTADOR CON CAMIÓN DE TRASLADO, COMUNA DE COELEMU”",OSCAR CRISOSTOMO LLANOS,DOCDIGITAL,https://drive.google.com/drive/folders/1KA0xAJ_pYomkbeig7e_axq2BcQuPz-B4?usp=drive_link,EN TRAMITE
,psp,00051,11-06-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “REPOSICIÓN DE 2 CAMIONES TOLVAS MUNICIPALES, COMUNA DE PINTO”",OSCAR CRISOSTOMO LLANOS,DOCDIGITAL,https://drive.google.com/drive/folders/1uuso-SXqt8hwGNl0BB4Xgg4zgzBX7vuT?usp=drive_link,EN TRAMITE
,gsg,00050,11-06-2024,MODIFICA PRESUPUESTO DE FUNCIONAMIENTO AÑO 2024 GOBIERNO REGIONAL DE ÑUBLE,OSCAR CRISOSTOMO LLANOS,DOCDIGITAL,https://drive.google.com/drive/folders/1dtGVR4vN1jBCRamTFLwqLci-WmPuNuoW?usp=drive_link,EN TRAMITE
,jsm,00049,30-05-2024,APRUEBA CONVENIO DE TRANSFERENCIA PARA LA EJECUCION DEL PROGRAMA “TRANSFERENCIA FLORA MELIFERA PARA MEJORAR EL NEGOCIO APICOLA DE LA REGION DE ÑUBLE”,OSCAR CRISOSTOMO LLANOS,E-MAIL,https://drive.google.com/drive/folders/11lCmEP6FTQcvTTspsoRRAiwoSQj2LpPm?usp=drive_link,TOMADA DE RAZON
,jsm,00048,29-05-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCION DEL PROYECTO “CONSTRUCCION CANCHA PASTO SINTETICO Y CIERRE PERIMETRAL, SECTOR COYANCO, COMUNA DE NINHUE”, CODIGO BIP 40045787-0",OSCAR CRISOSTOMO LLANOS,DOCDIGITAL,https://drive.google.com/drive/folders/10dHfbQqbPtQID6Qcq5q-PNN4ngOUpcet?usp=drive_link,TOMADA DE RAZON
,ahm,00047,24-05-2024,MODIFICASE EL PRESUPUESTO DE INVERSION DEL GOBIERNO REGIONAL DE ÑUBLE,OSCAR CRISOSTOMO LLANOS,DOCDIGITAL,https://drive.google.com/drive/folders/1si1Q37_t_sxPo4EWmRCTDM-8MT7uUJ4y?usp=drive_link,EN TRAMITE
,ahm,00046,24-05-2024,MODIFICASE EL PRESUPUESTO DE INVERSION DEL GOBIERNO REGIONAL DE ÑUBLE,OSCAR CRISOSTOMO LLANOS,DOCDIGITAL,https://drive.google.com/drive/folders/1GbKB7qolV4CvwsUs1otaZK1UgS81dUXg?usp=drive_link,TOMADA DE RAZON
,jsm,00045,23-05-2024,APRUEBA MODIFICACION DE CONVENIO DEL PROGRAMA DENOMINADO “TRANSFERENCIA PROGRAMA RECAMBIO DE CALEFACTORES CHILLAN Y CHILLAN VIEJO 2020-2021”,OSCAR CRISOSTOMO LLANOS,DOCDIGITAL,https://drive.google.com/drive/folders/1-sRovZ1S_abBGmqpqTjj73RRSCc6fzuG?usp=drive_link,EN TRAMITE
,psp,00044,17-05-2024,APRUEBA CONVENIO MANDATO PARA LA EJECUCION DEL PROYECTO “REPOSICION EQUIPO RAYOS OSTEOPULMONAR DIGITAL HOSPITAL QUIRIHUE”,ALICIA CONTRERAS VIELMA,DOCDIGITAL,https://drive.google.com/drive/folders/1B0cDhXUzNQEXPAw_e9aj8oJ3NbjbBnOg?usp=drive_link,CON ALCANCE
,psp,00043,17-05-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCION DEL PROYECTO “ADQUISICION CLINICA VETERINARIA MOVIL, COMUNA DE QUILLON”",ALICIA CONTRERAS VIELMA,DOCDIGITAL,https://drive.google.com/drive/folders/1OKO-jNkCQZ_WBOp2g7u_bxSfW-GKYdeG?usp=drive_link,EN TRAMITE
,jsm,00042,15-05-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCION DEL PROYECTO “ADQUISICION CAMION RECOLECTOR DE RESIDUOS SOLIDOS DOMICILIARIOS, COMUNA DE ÑIQUEN”",ALICIA CONTRERAS VIELMA,DOCDIGITAL,https://drive.google.com/drive/folders/1bFsox1FvImbfg3EG047yYpb0UJc_DByj?usp=drive_link,EN TRAMITE
,psp,00041,15-05-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCION DEL PROYECTO “ADQUISICION ECOGRAFO Y SISTEMA DETECCION PRECOZ CANCER DE MAMA, HCHM”",ALICIA CONTRERAS VIELMA,DOCDIGITAL,https://drive.google.com/drive/folders/1i60sl3wrxhe1wuKz-4L2q3kHOvFL8rfh?usp=drive_link,CON ALCANCE
,psp,00040,13-05-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCION DEL PROYECTO “CONSTRUCCION CARPETA PASTO SINTETICO Y CIERRE PERIMETRAL CANCHA DE RECINTO, COMUNA DE PINTO”",OSCAR CRISOSTOMO LLANOS,DOCDIGITAL,https://drive.google.com/drive/folders/16sfhuAiKfJXeH89iJAaHG46er7amZQcT?usp=drive_link,EN TRAMITE
,psp,00039,10-05-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCION DEL PROYECTO “CONSTRUCCION CANCHA DE FUTBOL SECTOR GENERAL CRUZ COMUNA DE PEMUCO”, CODIGO BIP 40048158-0.",OSCAR CRISOSTOMO LLANOS,DOCDIGITAL,https://drive.google.com/drive/folders/16yYnmACAvxPglEQ_BhWS7pv6qyvpXtPS?usp=drive_link,CON ALCANCE
,psp,00038,09-05-2024,"APRUEBA MODIFICACION DE CONVENIO DE TRANSFERENCIA DEL PROGRAMA DENOMINADO “TRANSFERENCIA FORTALECIMIENTO DE LA PROMOCION DEL TURISMO PARA LA TERCERA EDAD REGION DE ÑUBLE”, CODIGO BIP 40053887-0. ",OSCAR CRISOSTOMO LLANOS,DOCDIGITAL,https://drive.google.com/drive/folders/1IoHGioit3H3ST2m-L1RHlxe9bXaBJEm-?usp=drive_link,EN TRAMITE
,psp,00037,03-05-2024,"CREESE Y MODIFIQUESE ASIGNACIONES IDENTIFICATORIAS DE INICIATIVAS DE INVERSION DE ESTUDIOS BASICOS DEL PROGRAMA DE INVERSION REGIONAL REGION XVI”, SUBTITULO 31, INICIATIVAS DE INVERSION DE LA  REGION DE ÑUBLE AÑO 2024.
",OSCAR CRISOSTOMO LLANOS,DOCDIGITAL,https://drive.google.com/drive/folders/1A4F_ecqxSyhU8GB8ZPpb7pdRlPb5z_kc?usp=drive_link,EN TRAMITE
,gsg,00036,02-05-2024,MODIFICASE EL PROGRAMA DE FUNCIONAMIENTO AÑO 2024 DEL GOBIERNO REGIONAL DE ÑUBLE,OSCAR CRISOSTOMO LLANOS,DOCDIGITAL,https://drive.google.com/drive/folders/1e65jPLN0RndUCSSfW9ukTHLIrvkYlGK4?usp=drive_link,EN TRAMITE
,psp,00035,29-04-2024,"APRUEBA MODIFICACION DE CONVENIO MANDATO “CONSTRUCCION VEREDAS URBANAS DIVERSOS SECTORES, COMUNAS ASOCIACION PUNILLA”",OSCAR CRISOSTOMO LLANOS,DOCDIGITAL,https://drive.google.com/drive/folders/1PA7s7Wx1cof5DPUSOEpGi0-06Ud00sVD?usp=drive_link,EN TRAMITE
,mqv,00034,29-04-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCION DEL PROYECTO “CONSTRUCCION CANCHA DE PASTO SINTETICO PASO ANCHO, COMUNA DE SAN FABIAN”",OSCAR CRISOSTOMO LLANOS,DOCDIGITAL,https://drive.google.com/drive/folders/1akWldQqLdkYPgVx6k0ktyDrLFVplBv83?usp=drive_link,EN TRAMITE
