legacy_codigo,agreement_number,agreement_id,renderer_org_id,renderer_name,status,confidence,notes,document_count,sample_document_code,sample_source,sample_institucion,auto_candidate_count
2401C0126,,,,AGRUPACION FOLCLORICA CANTANTES DE YUNGAY,pending,,,1,REN24-2401C0126,RENDICIONES 2024.csv,AGRUPACION FOLCLORICA CANTANTES DE YUNGAY,0
2401C0128,,,,AGRUPACION COMUNITARIA LOS LLEUQUES POR LA CULTURA Y EDUCACION,pending,,,1,REN24-2401C0128,RENDICIONES 2024.csv,AGRUPACION COMUNITARIA LOS LLEUQUES POR LA CULTURA Y EDUCACION,0
2401C0131,,,,CENTRO CULTURAL AYEKAM DE ALICO,pending,,,1,REN24-2401C0131,RENDICIONES 2024.csv,CENTRO CULTURAL AYEKAM DE ALICO,0
2401C0132,,,,AGRUPACION FOLCLORICA DE ADULTOS MAYORES REMINISCENCIA,pending,,,1,REN24-2401C0132,RENDICIONES 2024.csv,AGRUPACION FOLCLORICA DE ADULTOS MAYORES REMINISCENCIA,0
2401C0135,,,,CORPORACION ARCUCITEC SAN NICOLAS,pending,,,1,REN24-2401C0135,RENDICIONES 2024.csv,CORPORACION ARCUCITEC SAN NICOLAS,0
2401C0138,,,,CLUB DE HUASOS SAN CARLOS,pending,,,2,REN24-2401C0138,RENDICIONES 2024.csv,CLUB DE HUASOS SAN CARLOS,0
2401C0139,,,,COMITE CAMPESINO MUJERES AGUA BUENA OESTE,pending,,,1,REN24-2401C0139,RENDICIONES 2024.csv,COMITE CAMPESINO MUJERES AGUA BUENA OESTE,0
2401C0141,,,,CENTRO DE PADRES Y APODERADOS ESCUELA LAS QUILAS DE LA UNIDAD VECINAL N°10 COMUNA DE SAN IGNACIO,pending,,,1,REN24-2401C0141,RENDICIONES 2024.csv,CENTRO DE PADRES Y APODERADOS ESCUELA LAS QUILAS DE LA UNIDAD VECINAL N°10 COMUNA DE SAN IGNACIO,0
2401C0142,,,,CENTRO GENERAL DE PADRES Y APODERADOS ESCUELA DE NUEVA ALDEA,pending,,,2,REN24-2401C0142,RENDICIONES 2024.csv,CENTRO GENERAL DE PADRES Y APODERADOS ESCUELA DE NUEVA ALDEA,0
2401C0143,,,,MOVIMIENTO SOCIAL EN DEFENSA DEL RIO ÑUBLE,pending,,,2,REN24-2401C0143,RENDICIONES 2024.csv,MOVIMIENTO SOCIAL EN DEFENSA DEL RIO ÑUBLE,0
2401C0144,,,,CORPORACION EDUCACIONAL CREANDO SUEÑOS,pending,,,1,REN24-2401C0144,RENDICIONES 2024.csv,CORPORACION EDUCACIONAL CREANDO SUEÑOS,0
2401C0145,,,,COMITE PRODUCTIVO EL PINO HUACHO,pending,,,3,REN24-2401C0145,RENDICIONES 2024.csv,COMITE PRODUCTIVO EL PINO HUACHO,0
2401C0146,,,,ASOCIACION INDIGENA PETU MONGELEIÑ,pending,,,1,REN24-2401C0146,RENDICIONES 2024.csv,ASOCIACION INDIGENA PETU MONGELEIÑ,0
2401C0147,,,,CLUB DE HUASOS BUCHUPUREO,pending,,,1,REN24-2401C0147,RENDICIONES 2024.csv,CLUB DE HUASOS BUCHUPUREO,0
2401C0149,,,,CLUB DE HUASOS AMANECER DE CURICA,pending,,,2,REN24-2401C0149,RENDICIONES 2024.csv,CLUB DE HUASOS AMANECER DE CURICA,0
2401C0151,,,,CONJUNTO FOLKLORICO SURCO Y TRIGAL,pending,,,1,REN24-2401C0151,RENDICIONES 2024.csv,CONJUNTO FOLKLORICO SURCO Y TRIGAL,0
2401C0152,,,,COMITE CAMPESINO LA ESPERANZA DE SAN IGNACIO,pending,,,1,REN24-2401C0152,RENDICIONES 2024.csv,COMITE CAMPESINO LA ESPERANZA DE SAN IGNACIO,0
