source_domain,source_id,source_code,target_domain,target_id,target_code,match_type,confidence
IDIS,aa01f662-3cbb-47af-89d7-1f2855531ee3,40025706-2021,IDIS_BIP,c9d8a818-2f73-4159-a4d7-35df2db5f620,40025706,NORMALIZED,0.9
IDIS,c9d8a818-2f73-4159-a4d7-35df2db5f620,40025706-2020,IDIS_BIP,aa01f662-3cbb-47af-89d7-1f2855531ee3,40025706,NORMALIZED,0.9
IDIS,c9d8a818-2f73-4159-a4d7-35df2db5f620,40025706-2020,IDIS_BIP,c9d8a818-2f73-4159-a4d7-35df2db5f620,40025706,NORMALIZED,0.9
IDIS,300cbf04-64e1-4933-838b-eb30b8fda663,40025728-2020,IDIS_BIP,300cbf04-64e1-4933-838b-eb30b8fda663,40025728,NORMALIZED,0.9
IDIS,5cd22620-5767-456f-9e45-2f60cc91ce30,40025757-2020,IDIS_BIP,5cd22620-5767-456f-9e45-2f60cc91ce30,40025757,NORMALIZED,0.9
IDIS,5cd22620-5767-456f-9e45-2f60cc91ce30,40025757-2020,IDIS_BIP,0ea669d9-67fb-4bf3-a3c9-301a64acd315,40025757,NORMALIZED,0.9
IDIS,0ea669d9-67fb-4bf3-a3c9-301a64acd315,40025757-2023,IDIS_BIP,5cd22620-5767-456f-9e45-2f60cc91ce30,40025757,NORMALIZED,0.9
IDIS,0ea669d9-67fb-4bf3-a3c9-301a64acd315,40025757-2023,IDIS_BIP,0ea669d9-67fb-4bf3-a3c9-301a64acd315,40025757,NORMALIZED,0.9
IDIS,aaba1f91-54f3-494e-aa5d-92caa5c2c42b,40025758-2020,IDIS_BIP,aaba1f91-54f3-494e-aa5d-92caa5c2c42b,40025758,NORMALIZED,0.9
IDIS,82510b11-4003-4ddb-bb25-1623f489763f,40025761-2021,IDIS_BIP,82510b11-4003-4ddb-bb25-1623f489763f,40025761,NORMALIZED,0.9
IDIS,5a520472-cc3b-490e-a884-fb2f2fac718b,40025765-2020,IDIS_BIP,5a520472-cc3b-490e-a884-fb2f2fac718b,40025765,NORMALIZED,0.9
IDIS,5a520472-cc3b-490e-a884-fb2f2fac718b,40025765-2020,IDIS_BIP,7bff25cb-7dcd-42b6-9769-d45475644001,40025765,NORMALIZED,0.9
IDIS,7bff25cb-7dcd-42b6-9769-d45475644001,40025765-2022,IDIS_BIP,5a520472-cc3b-490e-a884-fb2f2fac718b,40025765,NORMALIZED,0.9
IDIS,7bff25cb-7dcd-42b6-9769-d45475644001,40025765-2022,IDIS_BIP,7bff25cb-7dcd-42b6-9769-d45475644001,40025765,NORMALIZED,0.9
IDIS,e044fb37-a02f-4857-9c33-a6adcc1796ba,40025878-2021,IDIS_BIP,e044fb37-a02f-4857-9c33-a6adcc1796ba,40025878,NORMALIZED,0.9
IDIS,768fea39-b6ce-4200-98e3-c3e556a6ec2e,40025881-2020,IDIS_BIP,768fea39-b6ce-4200-98e3-c3e556a6ec2e,40025881,NORMALIZED,0.9
IDIS,5366922d-c5e7-40b1-a3df-5e6c591fe6e3,40025916-2020,IDIS_BIP,5366922d-c5e7-40b1-a3df-5e6c591fe6e3,40025916,NORMALIZED,0.9
IDIS,b33f7879-76cd-48ad-b608-a60e61831988,40025967-2020,IDIS_BIP,b33f7879-76cd-48ad-b608-a60e61831988,40025967,NORMALIZED,0.9
IDIS,8f0402ed-5549-46b0-a279-6d6bb53b6175,40025983-2021,IDIS_BIP,8f0402ed-5549-46b0-a279-6d6bb53b6175,40025983,NORMALIZED,0.9
IDIS,8f0402ed-5549-46b0-a279-6d6bb53b6175,40025983-2021,IDIS_BIP,7a903ea1-1832-41b7-bbb4-9e006f540908,40025983,NORMALIZED,0.9
IDIS,8f0402ed-5549-46b0-a279-6d6bb53b6175,40025983-2021,IDIS_BIP,7380659c-1bfe-49ab-a705-4f445bbc20be,40025983,NORMALIZED,0.9
IDIS,7a903ea1-1832-41b7-bbb4-9e006f540908,40025983-2022,IDIS_BIP,8f0402ed-5549-46b0-a279-6d6bb53b6175,40025983,NORMALIZED,0.9
IDIS,7a903ea1-1832-41b7-bbb4-9e006f540908,40025983-2022,IDIS_BIP,7a903ea1-1832-41b7-bbb4-9e006f540908,40025983,NORMALIZED,0.9
IDIS,7a903ea1-1832-41b7-bbb4-9e006f540908,40025983-2022,IDIS_BIP,7380659c-1bfe-49ab-a705-4f445bbc20be,40025983,NORMALIZED,0.9
IDIS,7380659c-1bfe-49ab-a705-4f445bbc20be,40025983-2023,IDIS_BIP,8f0402ed-5549-46b0-a279-6d6bb53b6175,40025983,NORMALIZED,0.9
IDIS,7380659c-1bfe-49ab-a705-4f445bbc20be,40025983-2023,IDIS_BIP,7a903ea1-1832-41b7-bbb4-9e006f540908,40025983,NORMALIZED,0.9
IDIS,7380659c-1bfe-49ab-a705-4f445bbc20be,40025983-2023,IDIS_BIP,7380659c-1bfe-49ab-a705-4f445bbc20be,40025983,NORMALIZED,0.9
IDIS,f0f41a6f-e4e8-4aea-8542-66853f027ae9,40026271-2022,IDIS_BIP,f0f41a6f-e4e8-4aea-8542-66853f027ae9,40026271,NORMALIZED,0.9
IDIS,241cf9c0-2707-4193-b736-2a98fdb64168,40026330-2021,IDIS_BIP,241cf9c0-2707-4193-b736-2a98fdb64168,40026330,NORMALIZED,0.9
IDIS,12a4996a-917a-4e06-a03b-4c1589f864db,40026635-2022,IDIS_BIP,12a4996a-917a-4e06-a03b-4c1589f864db,40026635,NORMALIZED,0.9
IDIS,98505fb2-a1bd-42d1-a6d4-385aa437d2c8,40026703-2021,IDIS_BIP,98505fb2-a1bd-42d1-a6d4-385aa437d2c8,40026703,NORMALIZED,0.9
IDIS,98505fb2-a1bd-42d1-a6d4-385aa437d2c8,40026703-2021,IDIS_BIP,b26b712e-e651-4b26-8673-08e8cf45d094,40026703,NORMALIZED,0.9
IDIS,b26b712e-e651-4b26-8673-08e8cf45d094,40026703-2022,IDIS_BIP,98505fb2-a1bd-42d1-a6d4-385aa437d2c8,40026703,NORMALIZED,0.9
IDIS,b26b712e-e651-4b26-8673-08e8cf45d094,40026703-2022,IDIS_BIP,b26b712e-e651-4b26-8673-08e8cf45d094,40026703,NORMALIZED,0.9
IDIS,9ef5bce1-2fe9-49f3-b339-f20f8d94195c,40026922-2020,IDIS_BIP,9ef5bce1-2fe9-49f3-b339-f20f8d94195c,40026922,NORMALIZED,0.9
IDIS,88e6e790-52fb-4efc-9eac-48b8bec41af8,40027039-2023,IDIS_BIP,88e6e790-52fb-4efc-9eac-48b8bec41af8,40027039,NORMALIZED,0.9
IDIS,dfa34179-bd2f-4dc4-bdd9-05bf4fa83e67,40027510-2021,IDIS_BIP,dfa34179-bd2f-4dc4-bdd9-05bf4fa83e67,40027510,NORMALIZED,0.9
IDIS,dfa34179-bd2f-4dc4-bdd9-05bf4fa83e67,40027510-2021,IDIS_BIP,d0bb21bb-3dfd-47e7-9c43-3afac123cc60,40027510,NORMALIZED,0.9
IDIS,d0bb21bb-3dfd-47e7-9c43-3afac123cc60,40027510-2022,IDIS_BIP,dfa34179-bd2f-4dc4-bdd9-05bf4fa83e67,40027510,NORMALIZED,0.9
IDIS,d0bb21bb-3dfd-47e7-9c43-3afac123cc60,40027510-2022,IDIS_BIP,d0bb21bb-3dfd-47e7-9c43-3afac123cc60,40027510,NORMALIZED,0.9
IDIS,2048cb61-c16c-4801-8b03-6e7b2701e838,40027777-2021,IDIS_BIP,2048cb61-c16c-4801-8b03-6e7b2701e838,40027777,NORMALIZED,0.9
IDIS,2048cb61-c16c-4801-8b03-6e7b2701e838,40027777-2021,IDIS_BIP,326132a7-bd8b-4f27-81f5-70ebebf2eaf0,40027777,NORMALIZED,0.9
IDIS,326132a7-bd8b-4f27-81f5-70ebebf2eaf0,40027777-2022,IDIS_BIP,2048cb61-c16c-4801-8b03-6e7b2701e838,40027777,NORMALIZED,0.9
IDIS,326132a7-bd8b-4f27-81f5-70ebebf2eaf0,40027777-2022,IDIS_BIP,326132a7-bd8b-4f27-81f5-70ebebf2eaf0,40027777,NORMALIZED,0.9
IDIS,a6f69a77-8cc9-4e7a-a107-e35a1152c665,40028863-2021,IDIS_BIP,a6f69a77-8cc9-4e7a-a107-e35a1152c665,40028863,NORMALIZED,0.9
IDIS,a6f69a77-8cc9-4e7a-a107-e35a1152c665,40028863-2021,IDIS_BIP,e29b4809-5d61-4e53-b2c2-e0b659216860,40028863,NORMALIZED,0.9
IDIS,e29b4809-5d61-4e53-b2c2-e0b659216860,40028863-2023,IDIS_BIP,a6f69a77-8cc9-4e7a-a107-e35a1152c665,40028863,NORMALIZED,0.9
IDIS,e29b4809-5d61-4e53-b2c2-e0b659216860,40028863-2023,IDIS_BIP,e29b4809-5d61-4e53-b2c2-e0b659216860,40028863,NORMALIZED,0.9
IDIS,4a8a8963-c50d-4a15-810e-ca2743dfbba6,40028909-2021,IDIS_BIP,4a8a8963-c50d-4a15-810e-ca2743dfbba6,40028909,NORMALIZED,0.9
IDIS,4a8a8963-c50d-4a15-810e-ca2743dfbba6,40028909-2021,IDIS_BIP,8289460c-f8e1-4d27-be79-db1175d0102b,40028909,NORMALIZED,0.9
IDIS,8289460c-f8e1-4d27-be79-db1175d0102b,40028909-2022,IDIS_BIP,4a8a8963-c50d-4a15-810e-ca2743dfbba6,40028909,NORMALIZED,0.9
IDIS,8289460c-f8e1-4d27-be79-db1175d0102b,40028909-2022,IDIS_BIP,8289460c-f8e1-4d27-be79-db1175d0102b,40028909,NORMALIZED,0.9
IDIS,4dd95ede-f13c-44e7-976b-f0c1c9277962,40028915-2020,IDIS_BIP,4dd95ede-f13c-44e7-976b-f0c1c9277962,40028915,NORMALIZED,0.9
IDIS,895f9a0b-656d-4695-8bec-a65517300aad,40029072-2021,IDIS_BIP,895f9a0b-656d-4695-8bec-a65517300aad,40029072,NORMALIZED,0.9
IDIS,e8ccb41c-a84a-4290-8bc8-37aa0b5171b5,40029581-2021,IDIS_BIP,e8ccb41c-a84a-4290-8bc8-37aa0b5171b5,40029581,NORMALIZED,0.9
IDIS,e8ccb41c-a84a-4290-8bc8-37aa0b5171b5,40029581-2021,IDIS_BIP,dcb5ea58-d7e9-4ec7-bd6c-d1252296c3c5,40029581,NORMALIZED,0.9
IDIS,dcb5ea58-d7e9-4ec7-bd6c-d1252296c3c5,40029581-2022,IDIS_BIP,e8ccb41c-a84a-4290-8bc8-37aa0b5171b5,40029581,NORMALIZED,0.9
