SUBVENCIONES 2024,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CORRELATIVO,TIPO DOCUMENTO,CÓDIGO,FECHA DCTO,FECHA INGRESO,FECHA ENTREGA ,NOMBRE INSTITUCIÓN ,NOMBRE DE LA INICIATIVA,MONTO DE LA RENDICIÓN,RECEPCIONADO POR,FIRMA
20,REND.,2301D0023,26-abr-24,29-abr-24,30-abr-24,CLUB DEPORTIVO COLO COLO SAN NICOLAS,CUADRANGULAR DEPORTIVO CLUB DEPORTIVO COLO COLO SAN NICOLÁS,"$1,580,400.00",JUAN PARADA,
21,REND.,2301EG0072,29-abr-24,29-abr-24,30-abr-24,ASOCIACION INDIGENA WENGAMEN,BORDANDO SIMBOLOS ANCESTRALES 2,"$3,000,000.00",JUAN PARADA,
22,REND.,2301C0182,25-abr-24,29-abr-24,30-abr-24,JJVV LARQUI PONIENTE 9-R,III VERSION DE FIESTA CRIOLLA DE LA CAZUELA DE CAMPO,"$2,350,102.00",JUAN PARADA,
23,REND.,2301C0080,29-abr-24,29-abr-24,30-abr-24,CORPORACION ALICO,REVISTA ALICO: HISTORIA CULTURA Y TRADICIONES  DE SAN FABIÁN,"$5,939,235.00",JUAN PARADA,
24,SUBS,2301SP0025,S/F,29-abr-24,30-abr-24,JJVV LA ESPERANZA,NUEVA VIDA LA ESPERANZA,,JUAN PARADA,
25,SUBS,2301AM0057,25-abr-24,29-abr-24,30-abr-24,UNION COMUNAL DE ADULTOS MAYORES,LOS PLATOS TIPICOS VI VERSION 2023,,JUAN PARADA,
26,REND.,2301AM0041,29-abr-24,29-abr-24,30-abr-24,CLUB ADULTO MAYOR LA ERA ENCANTADA,ENVEJECIMIENTO ACTIVO DE PERSONAS MAYORES DEL CLUB DE ADULTO MAYOR LA ERA ENCANTADA  DE LA LOCALIDAD DE PULLAY DE LA COMUNA DE COBQUECURA,"$1,864,890.00",JUAN PARADA,
27,SUBS,2301D0124,25-abr-24,29-abr-24,30-abr-24,CLUB DEPORTIVO SOCIAL Y CULTURAL EL ORATORIO,CLUB DEPORTIVO SOCIAL Y CULTURAL EL ORATORIO JUEGA CAMPEONATO DE FUTBOL LIGA ANDABA SAN NICOLAS,,JUAN PARADA,
28,REND.,2301AM0129,26-abr-24,29-abr-24,30-abr-24,UNION COMUNAL ADULTO MAYOR PINTO,VIAJANDO DE CORDILLERA A MAR,"$1,400,020.00",JUAN PARADA,
29,REND.,2301AM0142,26-abr-24,29-abr-24,30-abr-24,CLUB ADULTO MAYOR LOS COPIHUES,TRAVESIA DE LA HISTORIA Y RECREACIÓN,"$1,419,952.00",JUAN PARADA,
30,REND.,2301C0059,27-abr-24,29-abr-24,30-abr-24,AGRUPACIÓN CULTURAL CIRCULO LITERARIO COELEMU,POESIAS Y EN-CANTOS DE COELEMU ,"$3,500,015.00",JUAN PARADA,
31,REND.,2301SP0255,S/F,29-abr-24,30-abr-24,JJVV ROBINSON RAMIREZ,VILLA ROBINSON RAMIREZ UN ENTORNO MAS SEGURO,"$4,463,237.00",JUAN PARADA,
32,REND.,2301SP0349,24-abr-24,29-abr-24,30-abr-24,COMITÉ DE ADELANTO LA MORTANDAD,SIN EXTINTORES LOS RIESGOS DE INCENDIOS SON MAYORES,"$1,104,497.00",JUAN PARADA,
