SUBVENCIONES 2024,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CORRELATIVO,TIPO DOCUMENTO,CÓDIGO,FECHA DCTO,FECHA INGRESO,FECHA ENTREGA ,NOMBRE INSTITUCIÓN ,NOMBRE DE LA INICIATIVA,MONTO DE LA RENDICIÓN,RECEPCIONADO POR,FIRMA
665,SUBS,2301D0107,12/06/2024,12/06/2024,12/06/2024,JUNTA DE VECINOS TALQUIPEN CENTRAL,TALLER DE BAILE ENTRETENIDO EN JUNTO DE VECINOS TALQUIPEN CENTRAL,"$109,990.00",,
666,SUBS,2301D0247,11/06/2024,12/06/2024,12/06/2024,CLUB DEPORTIVO UNION BERNARDO O´HIGGINS DE CAPILLA COX CHILLÁN.,EL CLUB DEPORTIVO CAPILLA COX COMPITE Y ENGRANDECE EL FUTBOL RURAL.,$1.792.000,,
667,SUBS,2301D0283,11/06/2024,12/06/2024,12/06/2024,CLUB DEPORTIVO DE RAYUELA SANTOS.,EL CLUB DE RAYUELA CONTINUA FOMENTANDO LA RAYUELA A NIVEL COMPETITIVO.,$0.00,,
668,SUBS,2301D0269,11/06/2024,12/06/2024,12/06/2024,ASOCIACION DEPORTIVA KARATE-DO CHILLAN.,LA ASOCIACION DE KARATE-DO FORMA CAMPEONES PARA ÑUBLE.,$0.00,,
669,SUBS,2301D0077,12/06/2024,13/06/2024,13/06/2024,CLUB DEPORTIVO UNIÓN JUVENTUD.,FOMENTANDO EL DEPORTE EN NUESTRA COMUNA.,$0.00,,
670,SUBS,2301D0186,06/06/2024,13/06/2024,13/06/2024,CLUB MAXIBASQUETBOL CHILLÁN,RUMBO AL NACIONAL DE MAXIBASQUETBOL PUERTO MONTT 2023,$0.00,,
671,SUBS,2301D0008,11/06/2024,13/06/2024,13/06/2024,CLUB DEPORTIVO AURA FITNESS.,ESCUELA FORMATIVA DE CROSSFIT AURA FITNESS.,$0.00,,
672,SUBS,2301D0092,13/06/2024,13/06/2024,13/06/2024,CLUB DE BASQUETBALL CHILLAN VIEJO.,PRIEMRA ESCUELA DE BASKETBALL PARA NIÑOS Y NIÑAS DEL CLUB DE BASKETBALL CHILLAN VIEJO.,$0.00,,
673,SUBS,2301D0063,12/06/2024,13/06/2024,13/06/2024,CLUB DEPORTIVO SAN MIGUEL.,CAMPEONATO CLAUSURA 2023 EN COIHUECO DEL CLUB DEPORTIVO SAN MIGUEL.,$0.00,,
674,SUBS,2301D0066,12/06/2024,13/06/2024,13/06/2024,CLUB DEPORTIVO BUSTAMANTE.,PARTICIPACION CAMPEONATO CLAUSUSRA 2023 EN COIHUECO DEL CLUB DEPORTIVO BUSTAMANTE.,$0.00,,
675,SUBS,2301D0068,07/06/2024,13/06/2024,13/06/2024,CLUB DEPORTIVO SOCIAL COIHUECO.,"20° EDICION OCTAGONAL CAUPOLICAN QUILODRAN GUZMAN, CLUB DEPORTIVO SOCIAL COIHUECO"".",$0.00,,
676,SUBS,2301D0067,11/06/2024,13/06/2024,13/06/2024,CLUB DEPORTIVO RENACER LOS HEROES.,PARTICIPACION CAMPEONATO CLAUSUSRA 2023 EN COIHUECO DEL CLUB DEPORTIVO RENACER LOS HEROES.,$0.00,,
677,SUBS,2301D0060,11/06/2024,13/06/2024,13/06/2024,CLUB DEPORTIVO BERNARDO OLALDE.,PARTICIPACION CAMPEONATO CLAUSUSRA 2023 EN COIHUECO DEL CLUB DEPORTIVO BERNARDO OLALDE.,$0.00,,
678,SUBS,2301D0064,11/06/2024,13/06/2024,13/06/2024,CLUB DEPORTIVO COPIHUAL.,PARTICIPACION CAMPEONATO CLAUSUSRA 2023 EN COIHUECO DEL CLUB DEPORTIVO COPIHUAL.,$0.00,,
679,SUBS,2301D0281,12/06/2024,13/06/2024,13/06/2024,CLUB DEPORTIVO EL CARMEN DE CATO.,ESCUELA DE FUTBOL DEMECIO ELGUETA PONCE.,$0.00,,
680,SUBS,2301D0112,13/06/2024,13/06/2024,13/06/2024,CLUB DEPORTIVO LA UNION DE YUNGAY.,"CONTAR CON IMPLEMENTACION Y PREPARACION, NOS INCENTIVA AUN MAS A SEGUIR PRACTICANDO DEPORTE.",$0.00,,
681,SUBS,2301D0287,12/06/2024,13/06/2024,13/06/2024,ESCUELA DE FUTBOL EL REY ARTURO.,SEGUNDA ESCUELA DE FUTBOL REY ARTURO.,$0.00,,
682,SUBS,2301D0272,12/06/2024,13/06/2024,13/06/2024,CLUB DE HUASOS INTERCOMUNAL DE PINTO.,1ER RODEO REGIONAL ÑUBLE ANIVERSARIO COMUNA DE PINTO.,$0.00,,
683,REND,2301ADNCC088,12/06/2024,13/06/2024,13/06/2024,"COMITE CAMPESINO, PRODUCTIVO, SOCIAL Y CULTURAL NUEVO AMANECER LOS REMATES.",DECIMO ENCUENTRO TRADICIONAL CAMPESINO LOS REMATES 2024.,$0.00,,
684,SUBS,2301D0276,10/06/2024,13/06/2024,13/06/2024,CLUB DE PATINAJE ARTISTICO SOCIAL Y CULTURAL DEPORTIVO AYUWN.,PATINA Y VIVE SANO... AYUWN PROMOVIENDO EL DEPORTE EN LOS ESTUDIANTES DE LA REGION DE ÑUBLE.,$2.999.640,,
685,SUBS,2301D0167,07/06/2024,13/06/2024,13/06/2024,CLUB DEPORTIVO SOCIAL Y CULTURAL AQUAMASTER.,EMBAJADORES DE ÑUBLE EN NATACION.,$0.00,,
686,SUBS,2301D0202,07/06/2024,13/06/2024,13/06/2024,CLUB DEPORTIVO LOS AROMOS,LOS AROMOS EN EL CAMPEONATO OFICIAL,$0.00,,
687,SUBS,2301D0233,12/06/2024,13/06/2024,13/06/2024,CLUB DEPORTIVO Y CULTURAL AVANCE.,PRIMERA ESCUELA DE FUTBOL DEPORTIVO AVANCE 2023.,$0.00,,
688,SUBS,2301D0116,12/06/2024,13/06/2024,13/06/2024,ASOCIACION DE FUTBOL RURAL CORDILLERA DE CHILLAN.,LA ASOCIACION CORDILLERA ORGANIZA CAMPEONATO OFICIAL DE FUTBOL A NIVEL COMPETITIVO CHILLAN 2023.,$0.00,,
689,SUBS,2301D0244,11/06/2024,13/06/2024,13/06/2024,CLUB DEPORTIVO NACIONAL.,PARTICIPACION DEL CLUB NACIONAL EN EL CAMPEONATO OFICIAL ANFA CHILLAN 2023.,$0.00,,
690,SUBS,2301D0315,13/06/2024,13/06/2024,13/06/2024,CLUB DEPORTIVO UNION FERROVIARIO COELEMU,"ESCUELA DE FUTBOL; DE LA MANO CON LOS VALORES A LA MEDIDA DE LOS NIÑOS, NIÑAS Y JOVENES",$0.00,,
691,SUBS,2301D0035,14/06/2024,14/06/2024,14/06/2024,CLUB DEPORTIVO PAREDONES,PAREDONES PARTICIPA EN LA LIGA FUSEC 2023,$0.00,,
692,REND,2301D0114,30/04/2024,14/06/2024,14/06/2024,CLUB DEPORTIVO SANTIAGO DE BULI,CON GARRA Y PASION POR EL FUTBOL SANTIAGUINO DE BULI 2023 ,$0.00,,
693,SUBS,2301D0261,13/06/2024,14/06/2024,14/06/2024,CLUB DE BOCCIAS PEMUCO.,CLUB DE BOCCIAS PEMUCO FRONTON.,$1.800.000,,
694,SUBS,2301D0095,14/06/2024,14/06/2024,14/06/2024,CLUB DEPORTIVO DE AJEDREZ SAN NICOLAS.,NUEVOS DESAFIOS EN AJEDREZ PARA LOS NIÑOS DE SAN NICOLAS.,$1.686.894,,
695,REND,2301SP0402,30/04/2024,14/06/2024,14/06/2024,COMITE APR BULI ORIENTE.,CAMARAS PARA BULI ORIENTE TU SEGURIDAD ES LA MIA.,$4.495.164,,
696,SUBS,SIN CODIGO,14/06/2024,14/06/2024,14/06/2024,CENTRO DE MADRES ALEGRE DESPERTAR.,SIN NOMBRE DE PROYECTO,$0.00,,
697,SUBS,2301D0191,12/06/2024,14/06/2024,14/06/2024,CLUB DEPORTIVO Y CULTURAL AMANECER DE MONTAÑA.,CAMINANDO CON AMANECER DE MONTAÑA Y GORE ÑUBLE.,$0.00,,
698,REND,2301D0117,12/06/2024,14/06/2024,14/06/2024,CLUB DEPORTIVO EL MOLINO.,ESCUELA DE FUTBOL PARA NIÑOS Y JOVENES DE LA COMUNA DE COBQUECURA.,$0.00,,
699,SUBS,2301D0311,14/06/2024,14/06/2024,14/06/2024,CLUB DEPORTIVO ALIANZA DE LA UNIDAD VECINAL N°6.,ESCUELA DE FUTBOL ALIANZA.,$0.00,,
700,SUBS,2301D0048,13/06/2024,14/06/2024,14/06/2024,ASOCIACION REGIONAL DE FUTBOL AMATEUR ÑUBLE.,PRIMER CAMPEONATO REGIONAL DE SELECCIONES ARFA ÑUBLE 2023.,$0.00,,
701,SUBS,2301D0279,14/06/2024,14/06/2024,14/06/2024,CLUB DEPORTIVO LA ESTRELLA,ESCUELA DE FUTBOL CD LA ESTRELLA,$0.00,,
702,SUBS,2301D0148,14/06/2024,14/06/2024,14/06/2024,CLUB DEPORTIVO CACHAPOAL,PARTICIPANDO EN CAMPEONATO DE FUTBOL 2023,$0.00,,
703,SUBS,2301D0302,14/06/2024,14/06/2024,14/06/2024,ESCUELA ESTUDIANTIL SANTA INES FC.,NIÑOS FUTBOLEANDO EN VERANO.,$0.00,,
704,SUBS,2301C0092,14/06/2024,17/06/2024,17/06/2024,COMITÉ CAMPESINO SAN FRANCISCO DE EL CARDAL.,FIESTA DE LA ESQUILA Y EL CANTO POPULAR.,$0.00,,
705,REND,2301D0102,14/06/2024,17/06/2024,17/06/2024,ASOCIACION LOCAL DE FUTBOL EL CARMEN.,PREMIACION FINAL CAMPEONATO DE FUTBOL 2023.,$1.799.950,,
706,SUBS,2301D0241,13/06/2024,17/06/2024,17/06/2024,UNION COMUNAL CLUBES DEPORTIVOS URBANOS DE YUNGAY.,TORNEO COPA YUNGAY.,$4.000.000,,
707,REND,2301D0179,16/06/2024,17/06/2024,17/06/2024,CLUB DEPORTIVO EL PLAYA.,UN GOL DE EXPERIENCIAS EN EL FUTBOL DE AYER Y HOY.,$2.796.915,,
708,REND,2301SP0435,17/06/2024,17/06/2024,17/06/2024,CONAF ÑUBLE.,ENTRE TODOS Y TODAS PREVENIMOS LOS INCENDIOS FORESTALES EN ÑUBLE.,$15.45,,
709,REND,2301D0177,17/06/2024,17/06/2024,17/06/2024,ESCUELA DE FUTBOL GENERAL CRUZ.,ESCUELA DE FUTBOL GENERAL CRUZ.,$0.00,,
710,SUBS,2301D0140,17/06/2024,17/06/2024,17/06/2024,JJ.VV. N°20A LUIS CRUZ MARTINEZ.,MI BARRIO Y MI PELOTA: TALLERES DE FUTBOL FORMATIVO EN LA POBLACION LUIS CRUZ MARTINEZ.,$0.00,,
711,SUBS,2301D0105,30/04/2024,17/06/2024,17/06/2024,JJ.VV. ALTOS DE COIHUECO.,TALLER DE BAILE ENTRETENIDO EN LA JJ.VV. ALTOS DE COIHUECO.,$0.00,,
712,SUBS,2301D0252,17/06/2024,17/06/2024,17/06/2024,CLUB DE VOLEIBOL SAN FABIAN.,FORMACION CLUB DE VOLEIBOL SAN FABIAN.,$0.00,,
713,SUBS,2301AM0079,17/06/2024,17/06/2024,17/06/2024,CLUB DE ADULTO MAYOR ARMONIA DE ÑIQUEN ESTACION,GENERANDO CONCIENCIA DE MI SALUD CARDIOVASCULAR A TRAVES DE LA ALIMENTACION EN SOCIOS Y FAMILIA DEL CLUB DE ADULTO MAYOR ARMONIA DE ÑIQUEN.,$0.00,,
714,SUBS,2301C0065,17/06/2024,17/06/2024,17/06/2024,JUNTA DE VECINOS DE AGUA BUENA ,TRILLA A YEGUA SUELTA,$0.00,,
715,SUBS,2301D0108,17/06/2024,17/06/2024,17/06/2024,CLUB DEPORTIVO CATOLICA,TARDE DEPORTIVA DE FUTBOL CD CATOLICA DE PEMUCO 2023,$0.00,,
716,REND,2301D0011,30/04/2024,17/06/2024,18/06/2024,CLUB DEPORTIVO EL SAUCE.,IMPLEMENTACION DEPORTIVA PARA NUESTROS JOVENES.,$0.00,,
717,REND,2301D0300,30/04/2024,18/06/2024,18/06/2024,CLUB DEPORTIVO REAL SOCIEDAD EL SAUCE,EL C.D REAL SOCIEDAD EL SAUCE PARTICIPA EN EL CAMPEONATO COMUNAL DE PORTEZUELO 2023,$0.00,,
718,REND,2301C0157,17/06/2024,18/06/2024,18/06/2024,COMITE DE APICULTORES DE COELEMU,FERIA APICOLA 2023,$0.00,,
719,REND ,2301C0031,17/06/2024,18/06/2024,18/06/2024,CENTRO DE PADRES Y APODERADOS ESCUELA LAS ACACIAS,PLASMANDO LAS TRADICIONES DE ÑUBLE EN LOS MUROS DE LAS ACACIAS,$0.00,,
720,REND,2301D0017,30/04/2024,18/06/2024,18/06/2024,CLUB DEPORTIVO SAN PABLO,PRIMERA ESCUELA DE FUTBOL CLUB DEPORTIVO SAN PABLO,$0.00,,
721,REND,2301SP0320,30/04/2024,18/06/2024,18/06/2024,JJ.VV. EL PEDREGAL.,PEDREGAL MAS SEGURO JUNTO A LOS VECINOS.,$4.500.000,,
722,REND,2301M0091,14/06/2024,18/06/2024,18/06/2024,JJ.VV. MILLAUQUEN PONIENTE.,NUESTROS CAMPOS LIBRES DE BASURA.,$0.00,,
723,REND,2301SP0099,14/06/2024,18/06/2024,18/06/2024,COMITE DE ADELANTO Y DESARROLLO LAS FRUTILLAS.,"SECTOR LAS FRUTILLAS, SIEMPRE PROTEGIDOS ANTE LAS EMERGENCIAS.",$0.00,,
724,REND,2301SP0106,14/06/2024,18/06/2024,18/06/2024,COMITE DE AGUA POTABLE NINQUIHUE.,"VECINOS DEL APR NINQUIHUE, PROTEGIDOS ANTE LAS CATASTROFES.",$0.00,,
725,REND,2301SP0058,14/06/2024,18/06/2024,18/06/2024,JJ.VV. VILLA LOS REGIDORES.,UNIDOS POR LA SEGURIDAD.,$0.00,,
726,REND,2301SP0148,14/06/2024,18/06/2024,18/06/2024,JJ.VV. PEDRO AGUIRRE CERDA.,EN EL BARRIO PEDRO AGUIRRE CERDA CUIDAMOS NUESTRAS CASAS.,$0.00,,
727,REND,2301SP0150,14/06/2024,18/06/2024,18/06/2024,JJ.VV. EL ALAMO.,JUNTA DE VECINOS EL ALAMO PROTEGIDO CON CAMARAS DE SEGURIDAD.,$0.00,,
728,REND,2301SP0094,14/06/2024,18/06/2024,18/06/2024,COMITE DE AGUA POTABLE RURAL SAN LUIS DE ARIZONA MULLAUQUEN.,VECINOS DEL APR UNIDOS Y PROTEGIDOS ANTE INCENDIOS.,$0.00,,
729,SUBS,2301D0222,18/06/2024,18/06/2024,18/06/2024,CLUB DEPORTIVO LIBERTAD.,ESCUELA DE FUTBOL FORMATIVA FAMILIA VERDE C.D. LIBERTAD.,$1.543.240,,
730,SUBS,2301D0297,18/06/2024,19/06/2024,19/06/2024,CLUB ATLETICO DIAMANTES DE ÑUBLE,ESCUELA DE LANZAMIENTO DE PARAATLETISMO ,$0.00,,
731,REND,2301AM0171,18/06/2024,18/06/2024,19/06/2024,ADULTO MAYOR SAN FRANCISCO DE LLAHUEN,LA COCINA ES MI MEJOR TERAPIA,$0.00,,
732,REND,1901SC0291,03/04/2024,19/06/2024,19/06/2024,JJ.VV. CHILLINHUE.,,$0.00,,
733,SUBS,2301D0144,17/06/2024,19/06/2024,19/06/2024,CLUB DEPORTIVO LUCERO,CLUB DEPORTIVO LUCERO POTENCIA EL FUTBOL FORMATIVO,$0.00,,
734,SUBS,2301D0118,17/06/2024,19/06/2024,19/06/2024,CLUB DEPORTIVO BOCA ITATA AZUL,CUADRANGULAR DE FUTBOL AZUL,$0.00,,
735,SUBS,2301D0231,19/06/2024,19/06/2024,19/06/2024,CLUB DEPORTIVO CORDILLERA,ESCUELA DE ESCALADA PINTO,$0.00,,
736,REND,2301EG0095,30/04/2024,19/06/2024,19/06/2024,CENTRO GENERAL DE PADRES Y APODERADOS,PREVENCION CANCER DE MAMA EN NUESTRO LICEO ,$0.00,,
737,REND,2301D0258,18/06/2024,19/06/2024,19/06/2024,UNION COMUNAL DE CLUBES DEPORTIVOS RURALES JORGE SANTIBAÑEZ,"ADQUISICION DE IMPLEMENTACION, PREMIACION Y DESARROLLO SEMIFINALES Y FINALES",$0.00,,
738,REND,2301SP0436,19/06/2024,19/06,19/06/2024,JUNTA DE VECINOS VILLA PACIFICO,OJOS EN EL PACIFICO,$0.00,,
739,REND,2301ADNCD008,19/06/2024,19/06/2024,19/06/2024,ASOCIACION DEPORTIVA Y CULTURAL CLUBES DE HUASOS DE ÑUBLE.,IMPLEMENTACION AMBULANCIA PARA LA TEMPORADA DEPORTIVA 2023-2024.,$3.000.000,,
740,REND,2301D0291,21/06/2024,21/06/2024,21/06/2024,CLUB DEPORTIVO RUKA PEWMAN DE SAN CARLOS ,ESCUELA DE HALTEROFILIA,$0.00,,
741,REND,2301EG0012,21/06/2024,21/06/2024,21/06/2024,"AGRUPACION SOCIAL, CULTURAL Y DEPORTIVA EL ESFUERZO FEMENINO QUIRIHUE",TEJIENDO TELAR EN COMUNIDAD,$0.00,,
742,REND,2301C0119,21/06/2024,21/06/2024,21/06/2024,AGRUPACION SOCIAL CUASIMODISTAS PARROQUIA DULCE NOMBRE DE JESUS ,DECIMOQUINTA FIESTA DE CUASIMODO,$0.00,,
743,SUBS,2301D0078,21/06/2024,21/06/2024,21/06/2024,CLUB DE DEPORTES UNION.,"BUSCANDO ESPACIOS PARA QUE NUESTROS NIÑOS Y JOVENES UNIONINOS, SE DESARROLLEN DE MANERA INTEGRAL EN UN AMBIENTE LIBRE DE ALCOHOL, DROGAS Y EN BASE A UNA BUENA ALIMENTACIÓN",$0.00,,
744,REND,2301D0270,21/06/2024,21/06/2024,21/06/2024,COLEGIO DE PROFESORES DE CHILE A.G. REGIONAL ÑUBLE,OLIMPIADAS DEPORTIVAS Y RECREATIVAS DEL MAGISTERIO DE ÑUBLE,$0.00,,
745,REND,2301SP0280,21/06/2024,21/06/2024,21/06/2024,JUNTA DE VECINOS VILLA LOS LIBERTADORES,SEGURIDAD PARA NUESTROS VECINOS EN VILLA LOS LIBERTADORES,$0.00,,
746,SUBS,2301D0160,21/06/2024,21/06/2024,21/06/2024,CLUB DEPORTIVO HOCKEY TORNADO CHILLAN,PREPARACIÓN CAMPEONATOS LIGA SUR HOCKEY PATIN,$0.00,,
747,REND,2301S0136,24/06/2024,21/06/2024,21/06/2024,CORPORACION SOCIAL ÑUBLE MAYOR,"REHABILITACION MAYOR, MOVIENDO ES VIDA",$0.00,,
748,REND,2301AM0065,14/06/2024,24/06/2024,24/06/2024,UNION COMUNAL DE ADULTO MAYOR EL ULTIMO RECREO SAN IGNACIO ,ATENCION PODOLOGICA PARA PERSONAS MAYORES,,,
749,REND,2301D0034,24/06/2024,24/06/2024,24/06/2024,UNION COMUNAL DE FUTBOL NINHUE,CAMPEONATO DE FUTBOL CCOMUNAL NINHUE 2023,,,
750,DOC,2301SP0562,24/06/2024,24/06/2024,24/06/2024,JUNTA DE VECINOS N°9 PEÑAFLOR NINHUE,VECINOS DE PEÑAFLOR EQUIPADOS Y CAPACITADOS ANTE LA EMERGENCIA,ENTREGA CERTIFICADOS PARTICIPACION PARA FIRMA,,
751,REND,2301D0047,19/06/2024,24/06/2024,24/06/2024,ASOCIACION DE FUTBOL RURAL SANTA CLARA,CAMPEONATO ASOCIACION FUTBOL RURAL SANTA CLARA AÑO 2023,,,
752,REND,2301D0243,13/06/2024,24/06/2024,24/06/2024,CLUB DEPORTIVO NUEVA ESPERANZA DEL SECTOR BAJO,PARTICIPACION DEL CLUB DEPORTIVO NUEVA ESPERANZA EN EL CAMPEONATO ANDABA SAN NICOLAS 2023,,,
753,REND,2301SP0147,25/06/2024,25/06/2024,25/06/2024,JUNTA DE VECINOS CONFLUENCIA,TELEVIGILANCIA PARA LOS VECINOS DE CONFLUENCIA,$0.00,,
754,REND,2301D0288,26/06/2024,26/06/2024,26/06/2024,CLUB DEPORTIVO COMUNIDAD INTEGRADA,1° ESCUELA DE FUTBOL COIHUECO 2023,$0.00,,
755,SUBS,2301D0071,26/06/2024,26/06/2024,26/06/2024,CLUB DEPORTIVO 21 DE MAYO SECTOR EL RINCON.,CLUB 21 DE MAYO INCENTIVANDO EL DEPORTE RURAL.,$0.00,,
756,REND,2301SP0373,25/06/2024,27/06/2024,01/07/2024,CONSEJO VECINAL DE DESARROLLO BARRIO SUR,BARRIO SUR SEGURO,$0.00,,
757,REND,2301C0068,27/06/2024,28/06/2024,01/07/2024,CLUB DE HUASOS PUYAMAVIDA,RESCATANDO LAS TRADICIONES HUASAS,$0.00,,
758,REND,2301C0038,26/06/2024,28/06/2024,01/07/2024,CENTRO PUYAMAVIDA,"RESCATANDO TRADICIONES, FIESTA DE LA ESQUILA EN PUYAMAVIDA",$0.00,,
759,SUBS,2301C0061,27/06/2024,28/06/2024,01/07/2024,CAMARA DE TURISMO Y CULTURA DE TREHUACO,ROTULANDO LA RUTA COSTERA PATRIMONIAL DE TREHUACO,$0.00,,
760,SUBS,2301C0037,28/06/2024,28/06/2024,01/07/2024,JUNTA DE VECINOS LA QUEBRADA PACHAGUA,SEXTA VERSION DE LA FERIA DE LA VENDIMIA CAMPESINA EN LA QUEBRADA PACHGUA DE LA COMUNA DE QUIRIHUE,$0.00,,
761,SUBS,2301C0113,28/06/2024,28/06/2024,01/07/2024,JUNTA DE VECINOS RURAL N-3 DE TALCAMAVIDA,EN EL SECTOR DE TALCAMAVIDA SE CONSERVAN LAS TRADICIONES,$0.00,,
762,SUBS,2301C0138,27/06/2024,28/06/2024,01/07/2024,CLUB DE HUASOS CHILENOS SANTA RITA,CABALGATA DE LA FE,$0.00,,
763,SUBS,2301D0050,26/06/2024,28/06/2024,01/07/2024,CLUB DEPORTIVO SAN LUIS DE ARIZONA,TALLER DE ENTRENAMIENTO DEPORTIVO SAN LUIS,$0.00,,
764,SUBS,2301C0118,28/06/2024,28/06/2024,01/07/2024,CLUB DE HUASOS PUELCHE DE MALALCURA,FIESTA COSTUMBRISTA PUELCHE DE MALALCURA EN PRIMAVERA,$0.00,,
765,SUBS,2301D0286,21/06/2024,28/06/2024,01/07/2024,PREMIANDO AL FUTBOL LOCAL,ASOCIACION DE FUTBOL COELEMU,$0.00,,
766,SUBS,2301D0235,27/06/2024,28/06/2024,02/07/2024,CLUB DEPORTIVO Y RAYUELA LAS VEGAS,EL CLUB DE RAYUELA LAS VEGAS PROMUEVE LA PARTICIPACION DE SUS JUGADORES A NIVEL COMPETITIVO,$0.00,,
767,SUBS,2301C0126,30/06/2024,01/07/2024,02/07/2024,JUNTA DE VECINOS ÑIQUEN ESTACION R-4,"ÑIQUEN ESTACION AL RESCATE DE NUESTRA IDENTIDAD, SEGUNDA VERSION ",$0.00,,
768,SUBS,2101C0055,01/07/2024,01/07/2024,02/07/2024,JUNTA DE VECINOS SARITA GAJARDO Y AMPLIACIONES II,RESCATANDO LA OSTENTOSIDAD DEL CANTO POPULAR CHILENO,$0.00,,
769,SUBS,2301AM0093,02/07/2024,02/07/2024,02/07/2024,CENTRO DE ADULTO MAYOR AMOR DE HERMANOS.,"RUTA DORADA, DESCUBRIENDO LOTA CON SABIDURIA.",$0.00,,
770,REND,2301D0254,30/05/2024,02/07/2024,02/07/2024,CLUB DEPORTIVO ESTRELLAS DEL PACIFICO.,FORTALECIMIENTO DE SERIES MENORES C.D. ESTRELLAS DEL PACIFICO.,$1.800.000,,
771,SUBS,2301EG0069,01/07/2024,02/07/2024,02/07/2024,FUNDACION CRECER EN EQUIDAD.,"CUIDANDO AL QUE CUIDA, TALLERES PSICOEDUCATIVOS.",$0.00,,
772,SUBS,2301ADNCC088,02/07/2024,02/07/2024,02/07/2024,COOPERATIVA AGRICOLA GANADERA DEL VALLE DEL ITATA TTDA. ,DECIMO ENCUENTRO TRADICIONAL CAMPESINO LOS REMATES 2024,$0.00,,
773,SUBS,2301C0180,02/07/2024,02/07/2024,02/07/2024,CENTRO CULTURAL AMIGOS DE LA ORQUESTA SAGRADO CORAZON,"MUSICA QUE ABRE CAMINOS. NUEVAS METAS Y HORIZONTES PARA NIÑOS, JOVENES SANCARLINOS Y FORTALECIMIENTO DE LAZOS CON LA COMUNIDAD DE LAS OVEJAS, ARGENTINA.",$0.00,,
774,REND,2301C0093,30/04/2024,02/07/2024,03/07/2024,CENTRO GENERAL DE PADRES Y APODERADIOS ESCUELA REINO DE SUECIA,"1° FERIA LITERARIA DE CUENTO, POESÍA Y COMICS",$0.00,,
775,REND,2301C0163,01/07/2024,02/07/2024,03/07/2024,AGRUPACION CULTURAL CON MANOS DE MUJER,TALLER DE PINTURA AL OLEO ,$0.00,,
776,REND,2301M0055,30/05/2024,02/07/2024,03/07/2024,JJ.VV. LOS PEHUENCHES.,FOMENTEMOS LA SUSTENTABILIDAD EN JJ.VV. LOS PEHUENCHES.,$0.00,,
777,SUBS,2301AM0022,02/07/2024,03/07/2024,03/07/2024,CLUB ADULTO MAYOR AMOR DE VIVIR.,TALLER DE CARPINTERIA ADULTO MAYOR.,$2.000.000,,
778,SUBS,2301SP0421,03/07/2024,03/07/2024,03/07/2024,JUNTA DE VECINOS POBLACION MARDONES,PROTEGIENDO MI BARRIO,$0.00,,
779,SUBS,2301AM0224,03/07/2024,04/07/2024,04/07/2024,CLUB DE ADULTO MAYOR SOR TERESA DE CALCUTA,ENVIO BOLETA DE HONORARIOS RECTIFICADA,$0.00,,
780,SUBS,2301D0013,04/07/2024,04/07/2024,04/07/2024,CLUB DEPORTIVO LA MARAVILLA ,ESCUELA DE FUTBOL LA MARAVILLA,$0.00,,
781,SUBS,2301AM0155,04/07/2024,04/07/2024,04/07/2024,CLUB ADULTO MAYOR LOS COPIHUES,NUNCA ES TARDE PARA VIAJAR Y SANAR,$0.00,,
782,SUBS,2301D084,18/06/2024,04/07/2024,04/07/2024,CLUB DEPORTIVO SELVA NEGRA,DEPORTIVO SELVA NEGRA APOYA Y DIFUNDE EL DEPORTE Y LA ACTIVIDAD FISICA,$0.00,,
783,SUBS,2301D0282,19/06/2024,04/07/2024,04/07/2024,CLUB RAYUELA QUIRIQUINA,TORNO DE RAYUELA QUIRIQUINA,$0.00,,
784,SUBS,2201C0114,15/06/2024,04/07/2024,04/07/2024,FIESTA DEL POLLO DE CAMPO,JUNTA DE VECINOS LOS MITENES LOS ROBLES,$0.00,,
785,SUBS,2301C0162,04/07/2024,04/07/2024,04/07/2024,ASOCIACION INDIGENA MAPUCHE MAPU TRAFUN,EQUIPAMIENTO MAPU,$0.00,,
786,REND,2301D0232,05/07/2024,05/07/2024,05/07/2024,CLUB DEPORTIVO SOCIAL Y CULTURAL PASION FEMENINA PUEBLO SECO.,??,$0.00,,
787,SUBS,2101SD0098,05/07/2024,05/07/2024,05/07/2024,JJVV ULTRAESTACION N°18,,$0.00,,
788,SUBS,2301D0197,31/05/2024,05/07/24,05/07/24,ASOCIACION DE RAYUELA DE CHILLAN,LA ASOCIACION DE RAYUELA ORGANIZA CAMPEONATO OFICIAL 2023,"$3,950,000.00",,
789,SUBS,2301D0097,03/07/2024,08/07/2024,08/07/2024,CLUB DEPORTIVO CHACAY,ESCUELA DE FUTBOL 2023 CLUB DEPORTIVO CHACAY,$0.00,,
790,SUBS,2301AM0212,09/07/2024,09/07/2024,09/07/2024,PREVENCION DE LOS TRASTORNOS NEUROCOGNITIVOS Y ALTERACIONES MUSCULO-ESQUELETICAS,PREVENCION DE LOS TRASTORNOS NEUROCOGNITIVOS Y ALTERACIONES MUSCULO-ESQUELETICAS,$0.00,,
791,SUBS,2301EG0095,09/07/2024,09/07/2024,09/07/2024,CENTRO GENERAL DE PADRES Y APODERADOS LICEO C-93 SAN NICOLAS,,$0.00,,
792,SUBS,2301SP0311,08/07/2024,09/07/2024,09/07/2024,VILLA PARAISO,SEGURIDAD PARA NUESTRA VILLA ,$0.00,,
